selection_date,qualified_pairs,unique_stocks,sectors,median_correlation,median_half_life,median_fdr_pvalue
2001-01-31,0,0,0,0.0,0.0,0.0
2001-02-28,2,4,2,0.6022044039477648,6.996372497252864,0.03152139093602758
2001-03-30,0,0,0,0.0,0.0,0.0
2001-04-30,0,0,0,0.0,0.0,0.0
2001-05-31,0,0,0,0.0,0.0,0.0
2001-06-29,0,0,0,0.0,0.0,0.0
2001-07-31,0,0,0,0.0,0.0,0.0
2001-08-31,0,0,0,0.0,0.0,0.0
2001-09-28,1,2,1,0.6435619943617341,6.888208395681929,0.08450616905926876
2001-10-31,0,0,0,0.0,0.0,0.0
2001-11-30,1,2,1,0.51343867384827,3.9922444578439515,0.0032290601501833898
2001-12-31,1,2,1,0.5456866757916168,4.527011100509463,0.046178883414196716
2002-01-31,0,0,0,0.0,0.0,0.0
2002-02-28,0,0,0,0.0,0.0,0.0
2002-03-28,0,0,0,0.0,0.0,0.0
2002-04-30,0,0,0,0.0,0.0,0.0
2002-05-31,0,0,0,0.0,0.0,0.0
2002-06-28,0,0,0,0.0,0.0,0.0
2002-07-31,0,0,0,0.0,0.0,0.0
2002-08-30,0,0,0,0.0,0.0,0.0
2002-09-30,0,0,0,0.0,0.0,0.0
2002-10-31,0,0,0,0.0,0.0,0.0
2002-11-29,0,0,0,0.0,0.0,0.0
2002-12-31,0,0,0,0.0,0.0,0.0
2003-01-31,0,0,0,0.0,0.0,0.0
2003-02-28,0,0,0,0.0,0.0,0.0
2003-03-31,0,0,0,0.0,0.0,0.0
2003-04-30,0,0,0,0.0,0.0,0.0
2003-05-30,0,0,0,0.0,0.0,0.0
2003-06-30,1,2,1,0.7438364623059683,5.676802857310996,0.08784440047561098
2003-07-31,1,2,1,0.7746703895536801,5.301508472638946,0.09550353918550449
2003-08-29,0,0,0,0.0,0.0,0.0
2003-09-30,0,0,0,0.0,0.0,0.0
2003-10-31,0,0,0,0.0,0.0,0.0
2003-11-28,0,0,0,0.0,0.0,0.0
2003-12-31,1,2,1,0.643705763686571,8.348939781675558,0.021593744638692434
2004-01-30,0,0,0,0.0,0.0,0.0
2004-02-27,0,0,0,0.0,0.0,0.0
2004-03-31,0,0,0,0.0,0.0,0.0
2004-04-30,0,0,0,0.0,0.0,0.0
2004-05-28,0,0,0,0.0,0.0,0.0
2004-06-30,0,0,0,0.0,0.0,0.0
2004-07-30,0,0,0,0.0,0.0,0.0
2004-08-31,0,0,0,0.0,0.0,0.0
2004-09-30,0,0,0,0.0,0.0,0.0
2004-10-29,0,0,0,0.0,0.0,0.0
2004-11-30,0,0,0,0.0,0.0,0.0
2004-12-31,0,0,0,0.0,0.0,0.0
2005-01-31,0,0,0,0.0,0.0,0.0
2005-02-28,0,0,0,0.0,0.0,0.0
2005-03-31,1,2,1,0.7851347197145494,8.657048168826062,0.05102403869821958
2005-04-29,0,0,0,0.0,0.0,0.0
2005-05-31,1,2,1,0.6281318592210385,3.9162927295320995,0.054199093931731175
2005-06-30,0,0,0,0.0,0.0,0.0
2005-07-29,0,0,0,0.0,0.0,0.0
2005-08-31,1,2,1,0.569317327470566,7.509479894093047,0.06153881066914541
2005-09-30,0,0,0,0.0,0.0,0.0
2005-10-31,0,0,0,0.0,0.0,0.0
2005-11-30,0,0,0,0.0,0.0,0.0
2005-12-30,0,0,0,0.0,0.0,0.0
2006-01-31,1,2,1,0.5211163254152114,4.951043982185269,0.08363731869723685
2006-02-28,0,0,0,0.0,0.0,0.0
2006-03-31,0,0,0,0.0,0.0,0.0
2006-04-28,1,2,1,0.5752389268730861,3.789766485216002,0.08443626986933081
2006-05-31,0,0,0,0.0,0.0,0.0
2006-06-30,0,0,0,0.0,0.0,0.0
2006-07-31,0,0,0,0.0,0.0,0.0
2006-08-31,0,0,0,0.0,0.0,0.0
2006-09-29,0,0,0,0.0,0.0,0.0
2006-10-31,0,0,0,0.0,0.0,0.0
2006-11-30,0,0,0,0.0,0.0,0.0
