sector,pair_months,entry_events,entry_frequency,touched_abs_z_1_rate,touched_abs_z_0_5_rate,mean_crossing_rate,median_sessions_to_abs_z_0_5,median_favourable_excursion_z,median_adverse_excursion_z
Real Estate,68,40,0.5882352941176471,0.4,0.3,0.15,8.5,1.1664359494065675,-0.5149576435842447
Utilities,59,30,0.5084745762711864,0.3,0.2,0.16666666666666666,7.5,0.8391950185121609,-0.6169824532430948
Industrials,24,18,0.75,0.3333333333333333,0.2777777777777778,0.2777777777777778,8.0,0.9680286863774694,-0.5383675822372165
Materials,29,16,0.5517241379310345,0.375,0.25,0.1875,7.5,1.0149200520073283,-0.801984627121958
Financials,25,15,0.6,0.26666666666666666,0.13333333333333333,0.06666666666666667,6.0,0.5784357704991363,-1.2024973315688317
Consumer Discretionary,24,11,0.4583333333333333,0.36363636363636365,0.09090909090909091,0.0,12.0,0.8874139691457639,-0.512760268303067
Consumer Staples,15,11,0.7333333333333333,0.18181818181818182,0.09090909090909091,0.09090909090909091,5.0,0.7741692446736868,-0.6404770642042634
Energy,22,10,0.45454545454545453,0.5,0.4,0.2,4.5,1.0683772977743429,-0.469141854210843
Health Care,13,8,0.6153846153846154,0.125,0.125,0.0,13.0,0.086684620239881,-1.9810889558102487
Communication Services,11,5,0.45454545454545453,0.2,0.2,0.2,6.0,0.7432135319538775,-1.0351838164114504
Information Technology,7,4,0.5714285714285714,0.5,0.5,0.25,6.5,1.2035149506930483,0.030136213194005945
