pair_id,sector,entry_date,exit_date,exit_reason,entry_z_score,exit_z_score,holding_sessions,gross_pnl,execution_cost,borrow_cost,net_pnl,net_return
CCL__NCLH,Consumer Discretionary,2020-04-06,2020-05-05,maximum_holding_period,3.847574817702184,2.186486107113967,20,0.0242602864751547,0.0004750382631727,0.0002729120700853,0.0235123361418966,0.1222068147019492
EQR__ESS,Real Estate,2008-11-06,2008-11-26,mean_reversion,3.8702647612659407,-0.4717307465730437,14,0.0120847260778285,0.0003970531346969,0.0001485410979807,0.0115391318451508,0.0579567414016806
EQR__UDR,Real Estate,2009-07-13,2009-07-31,mean_reversion,-2.212063079598572,0.1617918463956009,14,0.0110653180596209,0.0004223653416495,0.000152238589994,0.0104907141279774,0.0541041587172889
ETR__EXC,Utilities,2020-10-02,2020-10-13,mean_reversion,-2.5186162337282325,-0.1567793282231165,7,0.0100912335009079,0.0003995450442202,8.113235703041762e-05,0.0096105560996572,0.0505396695091631
NXPI__ON,Information Technology,2021-03-04,2021-03-11,mean_reversion,-2.0348359145163832,0.1636515245755891,5,0.0098586213616368,0.0003943419650044,4.491718720882081e-05,0.0094193622094236,0.0486812674461013
ITW__SWK,Industrials,2009-01-23,2009-01-29,mean_reversion,-2.1470890810743315,0.4492754067663694,4,0.0097470865641709,0.0004134869585352,4.835489060684333e-05,0.0092852447150289,0.0469787186957075
BLDR__MAS,Industrials,2024-05-06,2024-05-28,mean_reversion,2.3592495006381524,-0.4750909338067109,15,0.0094459590447745,0.0003725627448658,0.0001250591193895,0.0089483371805191,0.0464849023486121
AVB__CPT,Real Estate,2009-05-08,2009-06-01,mean_reversion,2.3956033330092668,0.3785310212071237,15,0.0094775376121729,0.0003988673254639,0.0001613290222564,0.0089173412644525,0.0466657710302663
EQR__ESS,Real Estate,2008-12-15,2009-01-06,mean_reversion,2.4659723697591827,-0.2617505987712133,14,0.0082411329213786,0.0003844181353183,0.0001585765946637,0.0076981381913966,0.0386938807296699
APA__EQT,Energy,2010-03-09,2010-03-11,mean_reversion,2.0841069866586963,-0.2507812095261661,2,0.0080582142874998,0.0003880044273084,2.731326311997885e-05,0.0076428965970714,0.038742143744898
