sector,trades,gross_pnl,execution_cost,borrow_cost,net_pnl,win_rate,median_net_return
Real Estate,41,0.03987430359743896,0.0158403108491693,0.00457661372850136,0.0194573790197653,0.5609756097560976,0.0041060282117478
Information Technology,5,0.017650764868573202,0.0019189259826168001,0.0004467884973970095,0.015285050388559217,0.6,0.0129186776176807
Utilities,27,0.028369550951260373,0.0102762147565945,0.0036651952405294804,0.014428140954134323,0.5555555555555556,0.0009887693972599
Consumer Discretionary,9,0.0115570907276609,0.0036618148245892,0.0014901789566623387,0.0064050969464086,0.4444444444444444,-0.0033545548255171
Energy,11,0.006307466617414199,0.0043876713834167,0.0012829998379216188,0.0006367953960749991,0.45454545454545453,-0.0041975129190252
Industrials,18,0.008402732166693374,0.0070303637835724,0.0021192415885582508,-0.0007468732054385988,0.5,0.0008423566838681
Communication Services,6,-0.004445004957342264,0.0023064981448459,0.0007802839815449187,-0.0075317870837333005,0.16666666666666666,-0.00754873534655105
Materials,14,-0.0013362407749048983,0.005538228904193,0.002360274542944185,-0.009234744222042882,0.5,-0.00123850175973455
Consumer Staples,10,-0.0110461404655256,0.0039256446034269,0.0011489846162827625,-0.016120769685235698,0.3,-0.008358833231849251
Health Care,9,-0.0215240996688571,0.0034923948596138,0.0007619844310355562,-0.0257784789595072,0.1111111111111111,-0.0140604223083696
Financials,15,-0.018940098785313914,0.0059361658503721,0.001999746302753332,-0.0268760109384402,0.26666666666666666,-0.0105432721041267
